hash_no,hash_name
1,1C
2,1C-Bitrix
3,A-Frame
4,AL
5,ASPNETCore
6,ATE
7,ATS
8,AWR
9,Actionscript
10,Ada
11,Adobe
12,AdvancedInstaller
13,AdventureGameStudio
14,Agda
15,AlteraQuartusII
16,Altium
17,Amplify
18,Android
19,AndroidStudio
20,Angular
21,Anjuta
22,Ansible
23,AnsibleTower
24,ApacheCordova
25,ApacheHadoop
26,AppBuilder
27,AppCode
28,AppCode+all
29,AppCode+iml
30,AppEngine
31,AppceleratorTitanium
32,AptanaStudio
33,Arcanist
34,ArchLinuxPackages
35,Archive
36,Archives
37,Assembler
38,AtmelStudio
39,Audio
40,AutomationStudio
41,Autotools
42,Autotools+strict
43,AzureFunctions
44,Azurite
45,Backup
46,Ballerina
47,Basic
48,Batch
49,Bazaar
50,Bazel
51,BitTorrent
52,Bitrise
53,Bitrix
54,Blackbox
55,Bloop
56,Bookdown
57,Bower
58,BricxCC
59,Buck
60,C
61,C++
62,CFWheels
63,CLion
64,CLion+all
65,CLion+iml
66,CMake
67,CRBasic
68,CS-Cart
69,CUDA
70,CVS
71,Cake
72,CakePHP
73,CakePHP2
74,CakePHP3
75,Calabash
76,Carthage
77,Ceylon
78,ChefCookbook
79,Chocolatey
80,CircuitPython
81,Clean
82,Clojure
83,Cloud9
84,CocoaPods
85,Cocos2dx
86,CocosCreator
87,CodeBlocks
88,CodeComposerStudio
89,CodeIgniter
90,CodeKit
91,CodeSniffer
92,Codeio
93,CoffeeScript
94,CommonLisp
95,Compodoc
96,Composer
97,Compressed
98,CompressedArchive
99,Compression
100,Conan
101,Concrete5
102,Coq
103,Cordova
104,CraftCMS
105,Crashlytics
106,Crossbar
107,Crystal
108,Csharp
109,CypressIO
110,D
111,DBeaver
112,DM
113,Dart
114,DartEditor
115,Data
116,DataRecovery
117,Database
118,Defold
119,Delphi
120,Deno
121,Dframe
122,Diff
123,DiskImage
124,Django
125,DocFx
126,Docpress
127,Docusaurus
128,Docz
129,DotSettings
130,DotfilesSh
131,DotnetCore
132,Dreamweaver
133,Dropbox
134,Drupal
135,Drupal7
136,Drupal8
137,EPiServer
138,Eagle
139,Eclipse
140,EiffelStudio
141,ElasticBeanstalk
142,Elisp
143,Elixir
144,Elm
145,Emacs
146,Ember
147,Ensime
148,Erlang
149,Espresso
150,Executable
151,Exercism
152,ExpressionEngine
153,ExtJs
154,Fancy
155,Finale
156,Firebase
157,Fish
158,FlashBuilder
159,Flask
160,Flatpak
161,Flex
162,FlexBuilder
163,Flutter
164,Font
165,FontForge
166,ForceDotCom
167,ForgeGradle
168,Fortran
169,FreeCad
170,FreePascal
171,FuelPHP
172,FuseTools
173,GGTS
174,GIS
175,GPG
176,GWT
177,Games
178,Gatsby
179,Gcov
180,Genero4GL
181,Geth
182,Git
183,GitBook
184,Go
185,GoLand
186,GoLand+all
187,GoLand+iml
188,Godot
189,GoodSync
190,Gradle
191,Grails
192,Groovy
193,HOL
194,HSP
195,Haskell
196,Helm
197,Hexo
198,HomeAssistant
199,Homebrew
200,Hugo
201,HyperledgerComposer
202,IAR
203,IAREmbeddedWorkBench
204,IAR_EWARM
205,IDAPro
206,IGORPro
207,Idris
208,Images
209,InforCMS
210,InforCRM
211,Intellij
212,Intellij+all
213,Intellij+iml
214,Ionic3
215,JBoss
216,JBoss-4-2-3-GA
217,JBoss-6-x
218,JBoss4
219,JBoss6
220,JDeveloper
221,JEnv
222,JGiven
223,JMeter
224,JabRef
225,Java
226,Jekyll
227,JetBrains
228,JetBrains+all
229,JetBrains+iml
230,Jigsaw
231,Joe
232,Joomla
233,Julia
234,JupyterNotebooks
235,JustCode
236,KDevelop4
237,KDiff3
238,Kate
239,Keil
240,Kentico
241,KeystoneJS
242,KiCad
243,Kirby2
244,Kirby3
245,Kobalt
246,Kohana
247,KomodoEdit
248,KonyVisualizer
249,Kotlin
250,LAMP
251,LSspice
252,LTspice
253,LaTeX
254,LabVIEW
255,LabVIEWNXG
256,Laravel
257,Lazarus
258,Leiningen
259,LemonStand
260,Less
261,LiberoSOC
262,LibreOffice
263,LighthouseCI
264,Lilypond
265,Linux
266,Lithium
267,LocalStack
268,Logtalk
269,Lua
270,LyX
271,MATLAB
272,MEAN
273,MODX
274,MPLabX
275,Magento
276,Magento1
277,Magento2
278,Magic-xpa
279,Maven
280,MavensMate
281,MdBook
282,Mercurial
283,Mercury
284,Meson
285,MetaProgrammingSystem
286,Metals
287,Metalsmith
288,Meteor
289,MeteorJS
290,MicrosoftOffice
291,MikroC
292,Mill
293,Moban
294,ModelSim
295,Momentics
296,MonoDevelop
297,NCrunch
298,NWjs
299,Nanoc
300,NativeScript
301,NesC
302,NetBeans
303,Nette
304,NextJS
305,Nikola
306,Nim
307,Ninja
308,Node
309,NodeChakraTimeTravelDebug
310,Nohup
311,NotepadPP
312,Nuxtjs
313,Nwjs
314,OCaml
315,OSX
316,Objective-C
317,Obsidian
318,Octave
319,OctoberCms
320,Opa
321,OpenCV
322,OpenCart
323,OpenFOAM
324,OpenFrameworks
325,OpenFrameworks+VisualStudio
326,OrCAD
327,OracleForms
328,Otto
329,OxidEshop
330,PAWN
331,PHP-CS-Fixer
332,PHPCodeSniffer
333,PHPUnit
334,PSoCCreator
335,PVS
336,Packer
337,Particle
338,Patch
339,Perl
340,Perl6
341,Phalcon
342,Phoenix
343,PhpStorm
344,PhpStorm+all
345,PhpStorm+iml
346,Pimcore
347,Pimcore4
348,Pimcore5
349,PineGrow
350,PlatformIO
351,PlayFramework
352,Plone
353,Polymer
354,PowerShell
355,Prepros
356,Prestashop
357,Processing
358,ProgressABL
359,PuTTY
360,Pulumi
361,Pulumi+stacks
362,Puppet
363,PureBasic
364,PureScript
365,PyCharm
366,PyCharm+all
367,PyCharm+iml
368,Python
369,PythonVanilla
370,QML
371,Qooxdoo
372,Qt
373,QtCreator
374,R
375,ROS
376,ROS2
377,Racket
378,Rails
379,React
380,ReactNative
381,Reasonml
382,Red
383,Redcar
384,Redis
385,Remix
386,Remix+Arc
387,Remix+CloudflarePages
388,Remix+CloudflareWorkers
389,Remix+Netlify
390,Remix+Vercel
391,Renpy
392,RhodesRhomobile
393,Rider
394,Ruby
395,RubyMine
396,RubyMine+all
397,RubyMine+iml
398,Rust
399,SAM
400,SAM+config
401,SAS
402,SBT
403,SCons
404,SSH
405,SVN
406,Salesforce
407,SalesforceDX
408,Sass
409,Scala
410,Scheme
411,Scrivener
412,Sdcc
413,SeamGen
414,SenchaTouch
415,Serverless
416,Shopware
417,Silverstripe
418,SketchUp
419,SlickEdit
420,Smalltalk
421,Snap
422,Snapcraft
423,Snyk
424,Solidity
425,SolidityTruffle
426,Sonar
427,SonarQube
428,SourcePawn
429,Spark
430,SpecFlow
431,Splunk
432,Spreadsheet
433,StandardML
434,Stata
435,StdLib
436,Stella
437,Stellar
438,StorybookJs
439,Strapi
440,Stylus
441,SublimeText
442,SugarCRM
443,Svelte
444,Swift
445,SwiftPM
446,SwiftPackageManager
447,Symfony
448,SymphonyCMS
449,Synology
450,SynopsysVCS
451,THEOS-Tweak
452,TLA+
453,TYPO3-composer
454,Tags
455,TarmaInstallMate
456,TeX
457,Terraform
458,Terragrunt
459,Test
460,TestComplete
461,Testinfra
462,Text
463,TextMate
464,Textpattern
465,ThinkPHP
466,Toit
467,TortoiseGit
468,Tower
469,Turbo
470,TurboGears2
471,TwinCAT3
472,Tye
473,Typings
474,Typo3
475,Umbraco
476,Unity
477,UnrealEngine
478,VLab
479,VVVV
480,Vaadin
481,Vagrant
482,Valgrind
483,Vapor
484,Vercel
485,Vertx
486,Video
487,Vim
488,VirtualEnv
489,Virtuoso
490,VisualBasic
491,VisualStudio
492,VisualStudioCode
493,Vivado
494,Vue
495,Vuejs
496,Waf
497,Wakanda
498,Web
499,WebMethods
500,WebStorm
501,WebStorm+all
502,WebStorm+iml
503,WerckerCLI
504,Windows
505,Wintersmith
506,WordPress
507,Wyam
508,XText
509,XamarinStudio
510,Xcode
511,XcodeInjection
512,Xilinx
513,XilinxISE
514,XilinxVivado
515,Xill
516,Xojo
517,Y86
518,Yeoman
519,Yii
520,Yii2
521,ZendFramework
522,Zephir
523,Zsh
524,ZukenCR8000
525,asdf
526,baserCMS
527,bluej
528,certificates
529,dbt
530,direnv
531,dotenv
532,e2studio
533,easybook
534,fastlane
535,floobits
536,fsharp
537,greenfoot
538,grunt
539,infer
540,jspm
541,kaldi
542,librarian-chef
543,macOS
544,mule
545,nova
546,now
547,oXygenXMLEditor
548,pH7CMS
549,pico8
550,premake-gmake
551,puppet-librarian
552,pydev
553,react
554,replit
555,retool
556,robotframework
557,vRealizeOrchestrator
558,vcpkg
559,venv
560,vs
561,yalc
562,yarn
563,zig
